Timestamp,GP2_Position,GP2_Velocity,GP2_PushPressure,GP2_PressureA,GP2_PressureB,GP2_ClaspPressure,GP2_OilTemperature,OutsideTemp,to_be_predicted
2016-12-05 13:50:00,561.4556574923549,0.0,-2.73445844904935,5.95721304971465,8.691671498764,4.6876430000000004,46.2,3.9262059999999996,10.742515335551
2016-12-05 13:50:00,562.373088685015,0.456433429184386,-6.347849971007419,21.8756675923948,28.2235175634022,5.273599,46.1,3.89935,10.742515335551
2016-12-05 13:50:00,568.0,3.1798195566509904,-17.4810022278512,54.9943540757469,72.47535630359809,6.34785,46.1,3.9262059999999996,10.742515335551
2016-12-05 13:50:00,579.253822629969,8.30708841115528,-18.9458906826991,62.31879634998629,81.2646870326853,6.836146,46.0,3.9262059999999996,10.742515335551
2016-12-05 13:50:00,595.798165137615,13.708217323169999,-12.610248115482,48.3413190099796,60.9515671254616,7.3244419999999995,46.1,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,616.593272171254,18.318194957932104,-7.9103976561784695,40.1379436628315,48.04834131901,7.519761,46.0,3.9262059999999996,10.742515335551
2016-12-05 13:50:00,641.119266055046,22.395666925312298,-5.4689168980987,36.0362559892575,41.5051728873562,8.203375999999999,46.0,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,669.804281345566,26.1840643875425,-2.63679921872615,33.985412152470495,36.622211371196606,7.910398,46.0,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,701.48623853211,29.698601792262,0.9765923032319109,31.055635242774702,30.0790429395428,8.203375999999999,46.0,3.9262059999999996,10.742515335551
2016-12-05 13:50:00,727.60244648318,31.265689899128297,1.36722922452467,25.9773552659688,24.6101260414441,8.008057,45.9,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,761.8837920489301,31.6916944330337,2.63679921872616,22.461622974333896,19.8248237556078,7.910398,45.9,3.9262059999999996,10.742515335551
2016-12-05 13:50:00,794.3302752293581,31.859053357068,2.9297769096957302,22.949919125949897,20.0201422162542,7.910398,45.9,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,826.5626911314979,31.6308366424758,2.1485030671102,25.293740653706497,23.145237586596302,7.910398,45.8,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,858.7645259938839,31.6308366424758,0.585955381939147,29.2001098666341,28.614154484695,8.008057,45.8,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,890.079510703364,31.1439743180125,-2.4414807580797797,34.571367534409596,37.0128482924894,8.203375999999999,45.8,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,919.131498470948,29.455170630030302,-5.1759392071291295,36.329233680227105,41.5051728873562,7.812738,45.8,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,943.443425076453,25.9102043300318,-8.49635303811762,38.86837366863,47.3647267067476,7.129124000000001,45.8,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,962.5871559633031,21.2697977999909,-10.7547227393414,45.899838251899794,56.654560991241205,6.836146,45.8,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,976.6544342507651,16.355531212439303,-16.2114322336497,55.5803094576861,71.79174169133579,6.738486999999999,45.7,4.006775,10.742515335551
2016-12-05 13:50:00,985.278287461774,12.7040637789645,-20.0201422162542,66.02984710226751,86.04998931852171,6.543169,45.6,4.006775,10.742515335551
2016-12-05 13:50:00,990.079510703364,7.3942215527865,-21.8756675923948,66.02984710226751,87.9055146946623,49.12259,45.6,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,989.987767584098,1.97787819313221,-27.4422437208167,63.5883663441878,91.03061006500441,277.9016,45.6,4.006775,10.742515335551
2016-12-05 13:50:00,989.4373088685021,-0.349932295708003,-63.10007019257179,69.0572832422865,132.157353434858,284.8354,45.5,4.006775,10.742515335551
2016-12-05 13:50:00,987.6330275229359,-1.17151246823982,-131.58360545671002,75.20981475264749,206.79342020935698,289.6207,45.5,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,984.1467889908259,-2.57124165107188,-127.87255470442801,75.69811090426342,203.57066560869202,288.2534,45.5,4.006775,10.742515335551
2016-12-05 13:50:00,978.85626911315,-4.27525978669345,-126.114688558611,79.70213934751429,205.81682790612498,286.1049,45.4,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,971.700305810397,-6.08577905579139,-125.431073946348,80.1904354991302,205.621509445479,291.4762,45.4,4.006775,10.742515335551
2016-12-05 13:50:00,962.34250764526,-8.01801390600515,-132.462538529618,76.38172551652579,208.844264046144,288.6441,45.3,4.006775,10.742515335551
2016-12-05 13:50:00,951.577981651376,-9.75246093690568,-135.00167851802098,69.5455793939024,204.54725791192402,288.937,45.3,4.006775,10.742515335551
2016-12-05 13:50:00,939.4984709480119,-11.213047910295598,-129.813531907102,60.4632709738456,190.276802880947,288.2534,45.2,4.006775,10.742515335551
2016-12-05 13:50:00,925.7675840978591,-12.673634883685502,-120.34058656575199,54.9943540757469,175.33494064149897,291.6715,45.2,4.006775,10.742515335551
2016-12-05 13:50:00,910.56880733945,-14.179865199993902,-113.406781212806,50.7950071718497,164.201788384655,286.7885,45.2,3.9530629999999998,10.742515335551
2016-12-05 13:50:00,894.3302752293581,-15.427449906431198,-108.829004791406,44.6302682576983,153.459273049104,291.9645,45.1,4.006775,10.742515335551
2016-12-05 13:50:00,876.8379204892971,-16.568533479392,-109.305093539232,36.915189062166206,146.220282601398,287.4721,45.1,4.006775,10.742515335551
2016-12-05 13:50:00,858.275229357798,-17.679188157074,-109.50041199987801,32.1298867763298,141.630298776208,292.3551,45.1,4.006775,10.742515335551
