Timestamp,GP4_Position,GP4_Velocity,GP4_PushPressure,GP4_PressureA,GP4_PressureB,GP4_ClaspPressure,GP4_OilTemperature,to_be_predicted
2016-12-05 13:50:00,561.333987489268,0.0,-5.27359843745232,17.6763206884976,22.949919125949897,1.26957,46.9,19.5318460646382
2016-12-05 13:50:00,562.6525205445851,0.640731092483121,-9.27762688070315,34.3760490737632,43.6536759544664,2.0508439999999997,46.8,19.5318460646382
2016-12-05 13:50:00,569.1838587023179,3.82913105269674,-19.3365276039918,63.4907071138646,82.82723471785641,2.929777,46.8,19.5318460646382
2016-12-05 13:50:00,581.541273150987,9.22957883219743,-15.1371807000946,59.7796563615833,74.91683706167791,3.418073,46.8,19.5318460646382
2016-12-05 13:50:00,599.050165583221,14.7520706293139,-9.87578966643269,45.997497482223,55.8732871486557,4.199347,46.8,19.5318460646382
2016-12-05 13:50:00,621.342573285907,19.4507653075235,-6.05487228003784,40.040284432508294,46.095156712546206,4.101687999999999,46.7,19.5318460646382
2016-12-05 13:50:00,648.0811971053599,24.0884379769251,-3.90636921292764,36.329233680227105,40.2356028931547,4.394665,46.8,19.5318460646382
2016-12-05 13:50:00,678.95940144732,28.405745100085202,0.976592303231904,33.692434461500895,32.715842158269,4.394665,46.7,19.5318460646382
2016-12-05 13:50:00,711.401447320005,31.1364799942395,2.9297769096957302,27.246925260170304,24.3171483504746,4.882962,46.7,19.5318460646382
2016-12-05 13:50:00,737.772108426346,31.8382330955306,3.80870998260445,23.7311929685354,19.922482985931,4.785302,46.7,19.5318460646382
2016-12-05 13:50:00,772.237949221146,31.990788117550398,4.88296151615955,21.582689901425198,16.699728385265697,4.492325,46.6,19.5318460646382
2016-12-05 13:50:00,804.312032380719,31.7619555845207,4.19934690389722,21.3873714407788,17.1880245368816,4.589983999999999,46.6,19.5318460646382
2016-12-05 13:50:00,836.815405372256,31.609400562500802,3.6133915219580697,23.8288521988586,20.2154606769005,4.882962,46.6,19.5318460646382
2016-12-05 13:50:00,868.6441800564211,31.533123051490897,2.4414807580797797,27.7352214117863,25.293740653706497,4.492325,46.6,19.5318460646382
2016-12-05 13:50:00,900.350300502882,31.2127575052495,-0.19531846064638397,34.2783898434401,34.4737083040864,4.785302,46.6,19.5318460646382
2016-12-05 13:50:00,930.339261621489,30.0838503423029,-3.6133915219580697,39.1613513595996,42.7747428815577,4.199347,46.5,19.5318460646382
2016-12-05 13:50:00,954.226174414326,26.239463787404198,-7.6174199652089,41.9934690389721,49.610889004181004,3.80871,46.5,19.5318460646382
2016-12-05 13:50:00,972.195020237949,20.4118619462482,-11.828974272896499,48.1460005493332,59.9749748222297,3.418073,46.5,19.5318460646382
2016-12-05 13:50:00,984.1538084140809,14.6147711094961,-15.2348399304178,59.9749748222297,75.20981475264749,3.0274360000000002,46.5,19.5318460646382
2016-12-05 13:50:00,990.2251931804241,10.3584859951438,-17.9692983794671,60.8539078951384,78.8232062746056,0.3906369,46.5,19.5318460646382
2016-12-05 13:50:00,990.0412118238679,3.61555402186907,-17.4810022278512,53.43180639057589,70.91280861842709,44.044309999999996,46.5,19.5318460646382
2016-12-05 13:50:00,989.949221145591,-0.137299519817804,-16.7973876155889,54.115421002838204,70.91280861842709,291.3785,46.4,19.5318460646382
2016-12-05 13:50:00,989.3972770759231,-0.274599039635607,-38.5753959776605,61.049226355784796,99.6246223334452,290.7926,46.3,19.5318460646382
2016-12-05 13:50:00,987.496136391512,-1.2051846739563201,-122.684408093509,75.3074739829707,197.991882076479,292.1598,46.3,19.5318460646382
2016-12-05 13:50:00,984.0618177358031,-2.62394637874042,-117.61833552049299,90.4446546830653,208.062990203558,290.7926,46.3,19.5318460646382
2016-12-05 13:50:00,978.726358395682,-4.30205162095814,-123.563341166417,101.78533280434601,225.348673970763,290.4019,46.3,19.5318460646382
2016-12-05 13:50:00,971.6124126088561,-6.117456382993621,-124.930570390942,103.83617664113301,228.76674703207502,288.1558,46.2,19.5318460646382
2016-12-05 13:50:00,962.260026983932,-8.054905162645019,-117.2276985992,96.6948454237495,213.92254402294998,285.1283,46.2,19.5318460646382
2016-12-05 13:50:00,951.589108303692,-9.74826590706467,-112.72316660054301,80.4834131900998,193.20657979064302,285.7143,46.1,19.5318460646382
2016-12-05 13:50:00,939.354348092727,-11.258560625060598,-104.910428174688,68.4713278603473,173.381756035035,282.2962,46.1,19.5318460646382
2016-12-05 13:50:00,925.67840058874,-12.7230888364506,-106.863612781152,52.06457716605121,158.928189947203,285.226,46.0,19.5318460646382
2016-12-05 13:50:00,910.622592910585,-14.1723615456386,-101.00405896176001,48.04834131901,149.05240028077,284.0541,46.0,19.5318460646382
2016-12-05 13:50:00,894.3402428553909,-15.4233127262009,-95.24216437269199,45.3138828699606,140.556047242653,283.8588,46.0,19.5318460646382
2016-12-05 13:50:00,876.5553783883231,-16.659008404561302,-87.6247444074831,44.4349497970519,132.05969420453502,285.226,46.0,19.5318460646382
2016-12-05 13:50:00,858.1572427327361,-17.7116380564978,-92.7030243842891,31.543931394390697,124.24695577868,284.64,46.0,19.5318460646382
2016-12-05 13:50:00,838.3792469029801,-18.703245699626397,-87.6247444074831,30.5673390911588,118.192083498642,283.0775,45.9,19.5318460646382
2016-12-05 13:50:00,818.018643444131,-19.7101088449571,-87.03878902554399,30.5673390911588,117.60612811670299,284.1517,45.9,19.5318460646382
2016-12-05 13:50:00,801.307003556973,-19.999963386794697,-88.2106997894223,31.4462721640675,119.65697195348999,283.0775,45.8,19.5318460646382
